         ps       /tb/rst        /tb/x             
    2600000  +1         0 1 0 00000110 0 0 
    2650000  +1         0 1 1 00000110 0 0 
    2700000  +1         0 1 0 00001001 0 0 
    2750000  +1         0 1 1 00001001 0 0 
    2800000  +1         0 1 0 00001100 0 0 
    2850000  +1         0 1 1 00001100 0 0 
    2900000  +1         0 1 0 00001111 0 0 
    2950000  +1         0 1 1 00001111 0 0 
    3000000  +1         0 1 0 00010010 0 0 
    3050000  +1         0 1 1 00010010 0 0 
    3100000  +1         0 1 0 00010101 0 0 
    3150000  +1         0 1 1 00010101 0 0 
    3200000  +1         0 1 0 00011000 0 0 
    3250000  +1         0 1 1 00011000 0 0 
    3300000  +1         0 1 0 00011011 0 0 
    3350000  +1         0 1 1 00011011 0 0 
    3400000  +1         0 1 0 00011110 0 0 
    3450000  +1         0 1 1 00011110 0 0 
    3500000  +1         0 1 0 00100001 0 0 
    3550000  +1         0 1 1 00100001 0 0 
    3600000  +1         0 1 0 00000000 0 0 
    3650000  +1         0 1 1 00000000 0 0 
    3700000  +1         0 1 0 00000100 0 0 
    3750000  +1         0 1 1 00000100 0 0 
    3800000  +1         0 1 0 00001000 0 0 
    3850000  +1         0 1 1 00001000 0 0 
    3900000  +1         0 1 0 00001100 0 0 
    3950000  +1         0 1 1 00001100 0 0 
    4000000  +1         0 1 0 00010000 0 0 
    4050000  +1         0 1 1 00010000 0 0 
    4100000  +1         0 1 0 00010100 0 0 
    4150000  +1         0 1 1 00010100 0 0 
    4200000  +1         0 1 0 00011000 0 0 
    4250000  +1         0 1 1 00011000 0 0 
    4300000  +1         0 1 0 00011100 0 0 
    4350000  +1         0 1 1 00011100 0 0 
    4400000  +1         0 1 0 00100000 0 0 
    4450000  +1         0 1 1 00100000 0 0 
    4500000  +1         0 1 0 00100100 0 0 
    4550000  +1         0 1 1 00100100 0 0 
    4600000  +1         0 1 0 00101000 0 0 
    4650000  +1         0 1 1 00101000 0 0 
    4700000  +1         0 1 0 00101100 0 0 
    4750000  +1         0 1 1 00101100 0 0 
    4800000  +1         0 1 0 00000000 0 0 
    4850000  +1         0 1 1 00000000 0 0 
    4900000  +1         0 1 0 00000101 0 0 
    4950000  +1         0 1 1 00000101 0 0 
    5000000  +1         0 1 0 00001010 0 0 
    5050000  +1         0 1 1 00001010 0 0 
    5100000  +1         0 1 0 00001111 0 0 
    5150000  +1         0 1 1 00001111 0 0 
    5200000  +1         0 1 0 00010100 0 0 
    5250000  +1         0 1 1 00010100 0 0 
    5300000  +1         0 1 0 00011001 0 0 
    5350000  +1         0 1 1 00011001 0 0 
    5400000  +1         0 1 0 00011110 0 0 
    5450000  +1         0 1 1 00011110 0 0 
    5500000  +1         0 1 0 00100011 0 0 
    5550000  +1         0 1 1 00100011 0 0 
    5600000  +1         0 1 0 00101000 0 0 
    5650000  +1         0 1 1 00101000 0 0 
    5700000  +1         0 1 0 00101101 0 0 
    5750000  +1         0 1 1 00101101 0 0 
    5800000  +1         0 1 0 00110010 0 0 
    5850000  +1         0 1 1 00110010 0 0 
    5900000  +1         0 1 0 00110111 0 0 
    5950000  +1         0 1 1 00110111 0 0 
    6000000  +1         0 1 0 00000000 0 0 
    6050000  +1         0 1 1 00000000 0 0 
    6100000  +1         0 1 0 00000110 0 0 
    6150000  +1         0 1 1 00000110 0 0 
    6200000  +1         0 1 0 00001100 0 0 
    6250000  +1         0 1 1 00001100 0 0 
    6300000  +1         0 1 0 00010010 0 0 
    6350000  +1         0 1 1 00010010 0 0 
    6400000  +1         0 1 0 00011000 0 0 
    6450000  +1         0 1 1 00011000 0 0 
    6500000  +1         0 1 0 00011110 0 0 
    6550000  +1         0 1 1 00011110 0 0 
    6600000  +1         0 1 0 00100100 0 0 
    6650000  +1         0 1 1 00100100 0 0 
    6700000  +1         0 1 0 00101010 0 0 
    6750000  +1         0 1 1 00101010 0 0 
    6800000  +1         0 1 0 00110000 0 0 
    6850000  +1         0 1 1 00110000 0 0 
    6900000  +1         0 1 0 00110110 0 0 
    6950000  +1         0 1 1 00110110 0 0 
    7000000  +1         0 1 0 00111100 0 0 
    7050000  +1         0 1 1 00111100 0 0 
    7100000  +1         0 1 0 01000010 0 0 
    7150000  +1         0 1 1 01000010 0 0 
    7200000  +1         0 1 0 00000000 0 0 
    7250000  +1         0 1 1 00000000 0 0 
    7300000  +1         0 1 0 00000111 0 0 
    7350000  +1         0 1 1 00000111 0 0 
    7400000  +1         0 1 0 00001110 0 0 
    7450000  +1         0 1 1 00001110 0 0 
    7500000  +1         0 1 0 00010101 0 0 
    7550000  +1         0 1 1 00010101 0 0 
    7600000  +1         0 1 0 00011100 0 0 
    7650000  +1         0 1 1 00011100 0 0 
    7700000  +1         0 1 0 00100011 0 0 
    7750000  +1         0 1 1 00100011 0 0 
    7800000  +1         0 1 0 00101010 0 0 
    7850000  +1         0 1 1 00101010 0 0 
    7900000  +1         0 1 0 00110001 0 0 
    7950000  +1         0 1 1 00110001 0 0 
    8000000  +1         0 1 0 00111000 0 0 
    8050000  +1         0 1 1 00111000 0 0 
    8100000  +1         0 1 0 00111111 0 0 
    8150000  +1         0 1 1 00111111 0 0 
    8200000  +1         0 1 0 01000110 0 0 
    8250000  +1         0 1 1 01000110 0 0 
    8300000  +1         0 1 0 01001101 0 0 
    8350000  +1         0 1 1 01001101 0 0 
    8400000  +1         0 1 0 00000000 0 0 
    8450000  +1         0 1 1 00000000 0 0 
    8500000  +1         0 1 0 00001000 0 0 
    8550000  +1         0 1 1 00001000 0 0 
    8600000  +1         0 1 0 00010000 0 0 
    8650000  +1         0 1 1 00010000 0 0 
    8700000  +1         0 1 0 00011000 0 0 
    8750000  +1         0 1 1 00011000 0 0 
    8800000  +1         0 1 0 00100000 0 0 
    8850000  +1         0 1 1 00100000 0 0 
    8900000  +1         0 1 0 00101000 0 0 
    8950000  +1         0 1 1 00101000 0 0 
    9000000  +1         0 1 0 00110000 0 0 
    9050000  +1         0 1 1 00110000 0 0 
    9100000  +1         0 1 0 00111000 0 0 
    9150000  +1         0 1 1 00111000 0 0 
    9200000  +1         0 1 0 01000000 0 0 
    9250000  +1         0 1 1 01000000 0 0 
    9300000  +1         0 1 0 01001000 0 0 
    9350000  +1         0 1 1 01001000 0 0 
    9400000  +1         0 1 0 01010000 0 0 
    9450000  +1         0 1 1 01010000 0 0 
    9500000  +1         0 1 0 01011000 0 0 
    9550000  +1         0 1 1 01011000 0 0 
    9600000  +1         0 1 0 00000000 0 0 
    9650000  +1         0 1 1 00000000 0 0 
    9700000  +1         0 1 0 00001001 0 0 
    9750000  +1         0 1 1 00001001 0 0 
    9800000  +1         0 1 0 00010010 0 0 
    9850000  +1         0 1 1 00010010 0 0 
    9900000  +1         0 1 0 00011011 0 0 
    9950000  +1         0 1 1 00011011 0 0 
   10000000  +1         0 1 0 00100100 0 0 
   10050000  +1         0 1 1 00100100 0 0 
   10100000  +1         0 1 0 00101101 0 0 
   10150000  +1         0 1 1 00101101 0 0 
   10200000  +1         0 1 0 00110110 0 0 
   10250000  +1         0 1 1 00110110 0 0 
   10300000  +1         0 1 0 00111111 0 0 
   10350000  +1         0 1 1 00111111 0 0 
   10400000  +1         0 1 0 01001000 0 0 
   10450000  +1         0 1 1 01001000 0 0 
   10500000  +1         0 1 0 01010001 0 0 
   10550000  +1         0 1 1 01010001 0 0 
   10600000  +1         0 1 0 01011010 0 0 
   10650000  +1         0 1 1 01011010 0 0 
   10700000  +1         0 1 0 01100011 0 0 
   10750000  +1         0 1 1 01100011 0 0 
   10800000  +1         0 1 0 00000000 0 0 
   10850000  +1         0 1 1 00000000 0 0 
   10900000  +1         0 1 0 00001010 0 0 
   10950000  +1         0 1 1 00001010 0 0 
   11000000  +1         0 1 0 00010100 0 0 
   11050000  +1         0 1 1 00010100 0 0 
   11100000  +1         0 1 0 00011110 0 0 
   11150000  +1         0 1 1 00011110 0 0 
   11200000  +1         0 1 0 00101000 0 0 
   11250000  +1         0 1 1 00101000 0 0 
   11300000  +1         0 1 0 00110010 0 0 
   11350000  +1         0 1 1 00110010 0 0 
   11400000  +1         0 1 0 00111100 0 0 
   11450000  +1         0 1 1 00111100 0 0 
   11500000  +1         0 1 0 01000110 0 0 
   11550000  +1         0 1 1 01000110 0 0 
   11600000  +1         0 1 0 01010000 0 0 
   11650000  +1         0 1 1 01010000 0 0 
   11700000  +1         0 1 0 01011010 0 0 
   11750000  +1         0 1 1 01011010 0 0 
   11800000  +1         0 1 0 01100100 0 0 
   11850000  +1         0 1 1 01100100 0 0 
   11900000  +1         0 1 0 01101110 0 0 
   11950000  +1         0 1 1 01101110 0 0 
   12000000  +1         0 1 0 00000000 0 0 
   12050000  +1         0 1 1 00000000 0 0 
   12100000  +1         0 1 0 00001011 0 0 
   12150000  +1         0 1 1 00001011 0 0 
   12200000  +1         0 1 0 00010110 0 0 
   12250000  +1         0 1 1 00010110 0 0 
   12300000  +1         0 1 0 00100001 0 0 
   12350000  +1         0 1 1 00100001 0 0 
   12400000  +1         0 1 0 00101100 0 0 
   12450000  +1         0 1 1 00101100 0 0 
   12500000  +1         0 1 0 00110111 0 0 
   12550000  +1         0 1 1 00110111 0 0 
   12600000  +1         0 1 0 01000010 0 0 
   12650000  +1         0 1 1 01000010 0 0 
   12700000  +1         0 1 0 01001101 0 0 
   12750000  +1         0 1 1 01001101 0 0 
   12800000  +1         0 1 0 01011000 0 0 
   12850000  +1         0 1 1 01011000 0 0 
   12900000  +1         0 1 0 01100011 0 0 
   12950000  +1         0 1 1 01100011 0 0 
   13000000  +1         0 1 0 01101110 0 0 
   13050000  +1         0 1 1 01101110 0 0 
   13100000  +1         0 1 0 01111001 0 0 
   13150000  +1         0 1 1 01111001 0 0 
   13200000  +1         0 1 0 00000000 0 0 
   13250000  +1         0 1 1 00000000 0 0 
   13300000  +1         0 1 0 00001100 0 0 
   13350000  +1         0 1 1 00001100 0 0 
   13400000  +1         0 1 0 00011000 0 0 
   13450000  +1         0 1 1 00011000 0 0 
   13500000  +1         0 1 0 00100100 0 0 
   13550000  +1         0 1 1 00100100 0 0 
   13600000  +1         0 1 0 00110000 0 0 
   13650000  +1         0 1 1 00110000 0 0 
   13700000  +1         0 1 0 00111100 0 0 
   13750000  +1         0 1 1 00111100 0 0 
   13800000  +1         0 1 0 01001000 0 0 
   13850000  +1         0 1 1 01001000 0 0 
   13900000  +1         0 1 0 01010100 0 0 
   13950000  +1         0 1 1 01010100 0 0 
   14000000  +1         0 1 0 01100000 0 0 
   14050000  +1         0 1 1 01100000 0 0 
   14100000  +1         0 1 0 01101100 0 0 
   14150000  +1         0 1 1 01101100 0 0 
   14200000  +1         0 1 0 01111000 0 0 
   14250000  +1         0 1 1 01111000 0 0 
   14300000  +1         0 1 0 10000100 0 0 
   14350000  +1         0 1 1 10000100 0 0 
   14400000  +1         0 1 0 00000000 0 0 
   14450000  +1         0 1 1 00000000 0 0 
   14500000  +1         0 1 0 00001101 0 0 
   14550000  +1         0 1 1 00001101 0 0 
   14600000  +1         0 1 0 00011010 0 0 
   14650000  +1         0 1 1 00011010 0 0 
   14700000  +1         0 1 0 00100111 0 0 
   14750000  +1         0 1 1 00100111 0 0 
   14800000  +1         0 1 0 00110100 0 0 
   14850000  +1         0 1 1 00110100 0 0 
   14900000  +1         0 1 0 01000001 0 0 
   14950000  +1         0 1 1 01000001 0 0 
   15000000  +1         0 1 0 01001110 0 0 
   15050000  +1         0 1 1 01001110 0 0 
   15100000  +1         0 1 0 01011011 0 0 
   15150000  +1         0 1 1 01011011 0 0 
   15200000  +1         0 1 0 01101000 0 0 
   15250000  +1         0 1 1 01101000 0 0 
   15300000  +1         0 1 0 01110101 0 0 
   15350000  +1         0 1 1 01110101 0 0 
   15400000  +1         0 1 0 10000010 0 0 
   15450000  +1         0 1 1 10000010 0 0 
   15500000  +1         0 1 0 10001111 0 0 
   15550000  +1         0 1 1 10001111 0 0 
   15600000  +1         0 1 0 00000000 0 0 
   15650000  +1         0 1 1 00000000 0 0 
   15700000  +1         0 1 0 00001110 0 0 
   15750000  +1         0 1 1 00001110 0 0 
   15800000  +1         0 1 0 00011100 0 0 
   15850000  +1         0 1 1 00011100 0 0 
   15900000  +1         0 1 0 00101010 0 0 
   15950000  +1         0 1 1 00101010 0 0 
   16000000  +1         0 1 0 00111000 0 0 
   16050000  +1         0 1 1 00111000 0 0 
   16100000  +1         0 1 0 01000110 0 0 
   16150000  +1         0 1 1 01000110 0 0 
   16200000  +1         0 1 0 01010100 0 0 
   16250000  +1         0 1 1 01010100 0 0 
   16300000  +1         0 1 0 01100010 0 0 
   16350000  +1         0 1 1 01100010 0 0 
   16400000  +1         0 1 0 01110000 0 0 
   16450000  +1         0 1 1 01110000 0 0 
   16500000  +1         0 1 0 01111110 0 0 
   16550000  +1         0 1 1 01111110 0 0 
   16600000  +1         0 1 0 10001100 0 0 
   16650000  +1         0 1 1 10001100 0 0 
   16700000  +1         0 1 0 10011010 0 0 
   16750000  +1         0 1 1 10011010 0 0 
   16800000  +1         0 1 0 00000000 0 0 
   16850000  +1         0 1 1 00000000 0 0 
   16900000  +1         0 1 0 00001111 0 0 
   16950000  +1         0 1 1 00001111 0 0 
   17000000  +1         0 1 0 00011110 0 0 
   17050000  +1         0 1 1 00011110 0 0 
   17100000  +1         0 1 0 00101101 0 0 
   17150000  +1         0 1 1 00101101 0 0 
   17200000  +1         0 1 0 00111100 0 0 
   17250000  +1         0 1 1 00111100 0 0 
   17300000  +1         0 1 0 01001011 0 0 
   17350000  +1         0 1 1 01001011 0 0 
   17400000  +1         0 1 0 01011010 0 0 
   17450000  +1         0 1 1 01011010 0 0 
   17500000  +1         0 1 0 01101001 0 0 
   17550000  +1         0 1 1 01101001 0 0 
   17600000  +1         0 1 0 01111000 0 0 
   17650000  +1         0 1 1 01111000 0 0 
   17700000  +1         0 1 0 10000111 0 0 
   17750000  +1         0 1 1 10000111 0 0 
   17800000  +1         0 1 0 10010110 0 0 
   17850000  +1         0 1 1 10010110 0 0 
   17900000  +1         0 1 0 10100101 0 0 
   17950000  +1         0 1 1 10100101 0 0 
   18000000  +1         0 1 0 00000000 0 0 
   18050000  +1         0 1 1 00000000 0 0 
   18100000  +1         0 1 0 00010000 0 0 
   18150000  +1         0 1 1 00010000 0 0 
   18200000  +1         0 1 0 00100000 0 0 
   18250000  +1         0 1 1 00100000 0 0 
   18300000  +1         0 1 0 00110000 0 0 
   18350000  +1         0 1 1 00110000 0 0 
   18400000  +1         0 1 0 01000000 0 0 
   18450000  +1         0 1 1 01000000 0 0 
   18500000  +1         0 1 0 01010000 0 0 
   18550000  +1         0 1 1 01010000 0 0 
   18600000  +1         0 1 0 01100000 0 0 
   18650000  +1         0 1 1 01100000 0 0 
   18700000  +1         0 1 0 01110000 0 0 
   18750000  +1         0 1 1 01110000 0 0 
   18800000  +1         0 1 0 10000000 0 0 
   18850000  +1         0 1 1 10000000 0 0 
   18900000  +1         0 1 0 10010000 0 0 
   18950000  +1         0 1 1 10010000 0 0 
   19000000  +1         0 1 0 10100000 0 0 
   19050000  +1         0 1 1 10100000 0 0 
   19100000  +1         0 1 0 10110000 0 0 
   19150000  +1         0 1 1 10110000 0 0 
   19200000  +1         0 1 0 00000000 0 0 
   19250000  +1         0 1 1 00000000 0 0 
   19300000  +1         0 1 0 00010001 0 0 
   19350000  +1         0 1 1 00010001 0 0 
   19400000  +1         0 1 0 00100010 0 0 
   19450000  +1         0 1 1 00100010 0 0 
   19500000  +1         0 1 0 00110011 0 0 
   19550000  +1         0 1 1 00110011 0 0 
   19600000  +1         0 1 0 01000100 0 0 
   19650000  +1         0 1 1 01000100 0 0 
   19700000  +1         0 1 0 01010101 0 0 
   19750000  +1         0 1 1 01010101 0 0 
   19800000  +1         0 1 0 01100110 0 0 
   19850000  +1         0 1 1 01100110 0 0 
   19900000  +1         0 1 0 01110111 0 0 
   19950000  +1         0 1 1 01110111 0 0 
   20000000  +1         0 1 0 10001000 0 0 
   20050000  +1         0 1 1 10001000 0 0 
   20100000  +1         0 1 0 10011001 0 0 
   20150000  +1         0 1 1 10011001 0 0 
   20200000  +1         0 1 0 10101010 0 0 
   20250000  +1         0 1 1 10101010 0 0 
   20300000  +1         0 1 0 10111011 0 0 
   20350000  +1         0 1 1 10111011 0 0 
   20400000  +1         0 1 0 00000000 0 0 
   20450000  +1         0 1 1 00000000 0 0 
   20500000  +1         0 1 0 00010010 0 0 
   20550000  +1         0 1 1 00010010 0 0 
   20600000  +1         0 1 0 00100100 0 0 
   20650000  +1         0 1 1 00100100 0 0 
   20700000  +1         0 1 0 00110110 0 0 
   20750000  +1         0 1 1 00110110 0 0 
   20800000  +1         0 1 0 01001000 0 0 
   20850000  +1         0 1 1 01001000 0 0 
   20900000  +1         0 1 0 01011010 0 0 
   20950000  +1         0 1 1 01011010 0 0 
   21000000  +1         0 1 0 01101100 0 0 
